"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Season.Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
45,"HK FCC Mesto Lovosice","TJ Tatran Litovel",36,28,2018-09-29,428,"Michal Hanák, Luboš Pavlícek","Roman Jelínek","Pavel Haken","Ivo Vávra","Jirí Macek","RegularPhaseMatch","2018/2019",0,19,13,3,5
46,"SKKP Handball Brno","KH Koprivnice",26,33,2018-09-29,220,"Marek Becicka, Jirí Horák","Andrej Titkov","Vít Kucera","Lubomír Vermirovský","Igor Fulnek","RegularPhaseMatch","2018/2019",0,8,15,4,5
47,"HCB Karviná","TJ Sokol Nové Veselí",27,23,2018-09-30,807,"Jirí Králícek, Milan Letev","Marek Michalisko","Jirí Tabara","Pavel Hladík","Stanislav Krcál","RegularPhaseMatch","2018/2019",0,12,10,6,4
48,"HC Dukla Praha","Pepino SKP Frýdek-Místek",22,29,2018-09-30,150,"Milan Hájek, Karel Macho","Daniel Curda","Jirí Kotrc","Lubomír Kavka","Petr Mazur","RegularPhaseMatch","2018/2019",0,10,16,0,2
49,"HBC Ronal Jicín","HC Dukla Praha",22,23,2018-09-19,593,"Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Daniel Curda","Jirí Kotrc","RegularPhaseMatch","2018/2019",1,9,12,3,3
50,"TJ Cement Hranice","HK FCC Mesto Lovosice",28,24,2018-09-22,221,"Tomáš Bubenícek, Tomáš Petruška","Libor Hrabal","Martin Potiška","Roman Jelínek","Pavel Haken","RegularPhaseMatch","2018/2019",0,14,11,1,2
51,"TJ Tatran Litovel","HCB Karviná",20,32,2018-09-22,284,"Lukáš Frieser, Radoslav Kavulic","Ivo Vávra","Jirí Macek","Marek Michalisko","Jirí Tabara","RegularPhaseMatch","2018/2019",0,10,16,8,1
52,"TJ Sokol Nové Veselí","SKKP Handball Brno",28,25,2018-09-22,300,"Premysl Fukala, Radek Mohyla","Pavel Hladík","Stanislav Krcál","Andrej Titkov","Vít Kucera","RegularPhaseMatch","2018/2019",0,13,12,4,2
53,"KH Koprivnice","HC ROBE Zubrí",31,25,2018-09-22,450,"Jirí Králícek, Milan Letev","Lubomír Vermirovský","Igor Fulnek","Dušan Poloz","Zbynek Mizera","RegularPhaseMatch","2018/2019",0,18,11,5,4
54,"Pepino SKP Frýdek-Místek","Talent ROBSTAV-M.A.T.Plzen",25,36,2018-09-23,473,"Jirí Opava, Pavel Válek","Lubomír Kavka","Petr Mazur","Michal Tonar","Stanislav Raizl","RegularPhaseMatch","2018/2019",0,16,19,3,3
55,"HCB Karviná","TJ Cement Hranice",26,24,2018-09-12,783,"Jirí Opava, Pavel Válek","Marek Michalisko","Jirí Tabara","Martin Marek","Lukáš Kubeša","RegularPhaseMatch","2018/2019",1,14,11,3,2
56,"SKKP Handball Brno","TJ Tatran Litovel",22,20,2018-09-15,250,"Jirí Novotný, Václav Horácek","Andrej Titkov","Vít Kucera","Ivo Vávra","Jirí Macek","RegularPhaseMatch","2018/2019",0,11,10,1,4
57,"HK FCC Mesto Lovosice","HBC Ronal Jicín",21,19,2018-09-15,460,"Milan Hájek, Karel Macho","Roman Jelínek","Pavel Haken","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2018/2019",0,10,10,6,0
58,"HC ROBE Zubrí","TJ Sokol Nové Veselí",25,27,2018-09-15,974,"Tomáš Bubenícek, Tomáš Petruška","Dušan Poloz","Zbynek Mizera","Pavel Hladík","Stanislav Krcál","RegularPhaseMatch","2018/2019",0,11,14,3,4
59,"HC Dukla Praha","Talent ROBSTAV-M.A.T.Plzen",24,24,2018-09-16,422,"Michal Hanák, Luboš Pavlícek","Daniel Curda","Jirí Kotrc","Michal Tonar","Stanislav Raizl","RegularPhaseMatch","2018/2019",0,10,11,2,3
60,"Pepino SKP Frýdek-Místek","KH Koprivnice",30,32,2018-09-16,456,"Tomáš Kozler, Martin Zych","Lubomír Kavka","Petr Mazur","Lubomír Vermirovský","Igor Fulnek","RegularPhaseMatch","2018/2019",0,13,15,1,1
61,"TJ Sokol Nové Veselí","Pepino SKP Frýdek-Místek",23,22,2018-09-07,300,"Lukáš Frieser, Radoslav Kavulic","Pavel Hladík","Stanislav Krcál","Lubomír Kavka","Petr Mazur","RegularPhaseMatch","2018/2019",0,11,10,1,0
62,"TJ Cement Hranice","SKKP Handball Brno",31,24,2018-09-08,156,"Premysl Fukala, Radek Mohyla","Libor Hrabal","Martin Potiška","Andrej Titkov","Vít Kucera","RegularPhaseMatch","2018/2019",0,20,12,3,3
63,"TJ Tatran Litovel","HC ROBE Zubrí",22,27,2018-09-08,348,"Michal Hanák, Luboš Pavlícek","Ivo Vávra","Jirí Macek","Dušan Poloz","Zbynek Mizera","RegularPhaseMatch","2018/2019",0,12,14,7,2
64,"HBC Ronal Jicín","HCB Karviná",27,26,2018-09-08,520,"Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Marek Michalisko","Jirí Tabara","RegularPhaseMatch","2018/2019",0,11,10,3,0
65,"KH Koprivnice","Talent ROBSTAV-M.A.T.Plzen",29,38,2018-09-08,300,"Adam Baader, Jirí Novotný","Lubomír Vermirovský","Igor Fulnek","Michal Tonar","Stanislav Raizl","RegularPhaseMatch","2018/2019",0,12,21,6,1
66,"HK FCC Mesto Lovosice","HC Dukla Praha",32,30,2018-09-08,0,"Dalibor Pavlát, Ludek Tocík","Roman Jelínek","Pavel Haken","Daniel Curda","Jirí Kotrc","RegularPhaseMatch","2018/2019",1,18,18,3,0
