"Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Match.Date","Home.Team.Goals","Away.Team.Goals"
29,"ZUB","BRN","HC ROBE Zubrí","SKKP Handball Brno",2018-10-31,21,20
30,"LIT","DUK","TJ Tatran Litovel","HC Dukla Praha",2018-10-31,19,38
31,"HRA","LIT","TJ Cement Hranice","TJ Tatran Litovel",2018-10-10,30,24
32,"LOV","KOP","HK FCC Mesto Lovosice","KH Koprivnice",2018-10-13,31,29
33,"BRN","FRM","SKKP Handball Brno","Pepino SKP Frýdek-Místek",2018-10-13,28,28
34,"JIC","NOV","HBC Ronal Jicín","TJ Sokol Nové Veselí",2018-10-13,23,23
35,"DUK","ZUB","HC Dukla Praha","HC ROBE Zubrí",2018-10-14,20,22
36,"KAR","PLZ","HCB Karviná","Talent ROBSTAV-M.A.T.Plzen",2018-10-17,24,22
37,"PLZ","BRN","Talent ROBSTAV-M.A.T.Plzen","SKKP Handball Brno",2018-10-03,28,22
38,"HRA","DUK","TJ Cement Hranice","HC Dukla Praha",2018-10-06,28,27
39,"LIT","JIC","TJ Tatran Litovel","HBC Ronal Jicín",2018-10-06,21,27
40,"KOP","KAR","KH Koprivnice","HCB Karviná",2018-10-06,32,32
41,"FRM","ZUB","Pepino SKP Frýdek-Místek","HC ROBE Zubrí",2018-10-07,28,23
42,"NOV","LOV","TJ Sokol Nové Veselí","HK FCC Mesto Lovosice",2018-10-07,29,28
43,"JIC","HRA","HBC Ronal Jicín","TJ Cement Hranice",2018-09-28,24,23
44,"ZUB","PLZ","HC ROBE Zubrí","Talent ROBSTAV-M.A.T.Plzen",2018-09-28,26,26
45,"LOV","LIT","HK FCC Mesto Lovosice","TJ Tatran Litovel",2018-09-29,36,28
46,"BRN","KOP","SKKP Handball Brno","KH Koprivnice",2018-09-29,26,33
47,"KAR","NOV","HCB Karviná","TJ Sokol Nové Veselí",2018-09-30,27,23
48,"DUK","FRM","HC Dukla Praha","Pepino SKP Frýdek-Místek",2018-09-30,22,29
49,"JIC","DUK","HBC Ronal Jicín","HC Dukla Praha",2018-09-19,22,23
50,"HRA","LOV","TJ Cement Hranice","HK FCC Mesto Lovosice",2018-09-22,28,24
51,"LIT","KAR","TJ Tatran Litovel","HCB Karviná",2018-09-22,20,32
52,"NOV","BRN","TJ Sokol Nové Veselí","SKKP Handball Brno",2018-09-22,28,25
53,"KOP","ZUB","KH Koprivnice","HC ROBE Zubrí",2018-09-22,31,25
54,"FRM","PLZ","Pepino SKP Frýdek-Místek","Talent ROBSTAV-M.A.T.Plzen",2018-09-23,25,36
55,"KAR","HRA","HCB Karviná","TJ Cement Hranice",2018-09-12,26,24
56,"BRN","LIT","SKKP Handball Brno","TJ Tatran Litovel",2018-09-15,22,20
57,"LOV","JIC","HK FCC Mesto Lovosice","HBC Ronal Jicín",2018-09-15,21,19
58,"ZUB","NOV","HC ROBE Zubrí","TJ Sokol Nové Veselí",2018-09-15,25,27
59,"DUK","PLZ","HC Dukla Praha","Talent ROBSTAV-M.A.T.Plzen",2018-09-16,24,24
60,"FRM","KOP","Pepino SKP Frýdek-Místek","KH Koprivnice",2018-09-16,30,32
61,"NOV","FRM","TJ Sokol Nové Veselí","Pepino SKP Frýdek-Místek",2018-09-07,23,22
62,"HRA","BRN","TJ Cement Hranice","SKKP Handball Brno",2018-09-08,31,24
63,"LIT","ZUB","TJ Tatran Litovel","HC ROBE Zubrí",2018-09-08,22,27
64,"JIC","KAR","HBC Ronal Jicín","HCB Karviná",2018-09-08,27,26
65,"KOP","PLZ","KH Koprivnice","Talent ROBSTAV-M.A.T.Plzen",2018-09-08,29,38
66,"LOV","DUK","HK FCC Mesto Lovosice","HC Dukla Praha",2018-09-08,32,30
